ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
26            2015-09-26T02:09:54.060  7807.10986328125  -3684.172607421875   -6875.51123046875    324.3186340332031    2015-09-26T14:06:24.060  76412.4921875     37512.5              66499.359375         -3084.95703125       
27            2015-09-27T02:02:54.060  7800.06005859375  -3873.698974609375   -6762.724609375      317.7279052734375    2015-09-27T13:59:24.060  76421.796875      38581.90234375       65893.15625          -3133.656005859375   
28            2015-09-28T01:55:54.060  7790.42578125     -4089.761962890625   -6623.478515625      306.7777404785156    2015-09-28T13:52:54.060  76433.75          39614.69140625       65288.9296875        -3185.827392578125   
29            2015-09-29T01:49:24.039  7778.6044921875   -4097.4912109375     -6603.962890625      323.9143371582031    2015-09-29T13:45:54.039  76445.90625       40658.62109375       64655.9375           -3234.708984375      
30            2015-09-30T01:42:54.039  7768.048828125    -4143.05859375       -6562.38623046875    335.7548828125       2015-09-30T13:39:24.039  76443.28125       41601.8125           64045.12109375       -3329.740234375      
31            2015-10-01T01:36:24.039  7790.1875         -4339.2978515625     -6461.10009765625    334.21392822265625   2015-10-01T13:33:24.039  76450.3515625     42592.6953125        63396.20703125       -3382.23046875       
32            2015-10-02T01:30:24.039  7773.7314453125   -4403.0673828125     -6397.3427734375     343.3787536621094    2015-10-02T13:27:24.039  76447.5703125     43542.32421875       62740.94140625       -3445.429443359375   
33            2015-10-03T01:23:54.039  7771.64794921875  -4486.29150390625    -6336.30810546875    350.5641784667969    2015-10-03T13:20:24.039  76448.046875      44535.73828125       62037.62109375       -3493.681884765625   
34            2015-10-04T01:17:24.039  7772.13427734375  -4558.7236328125     -6284.49951171875    359.4012756347656    2015-10-04T13:13:54.039  76446.234375      45495.60546875       61331.97265625       -3544.8330078125     
35            2015-10-05T01:10:54.039  7774.43017578125  -4613.76416015625    -6246.40087890625    370.7065734863281    2015-10-05T13:07:24.039  76443.1875        46446.49609375       60608.22265625       -3595.517333984375   
36            2015-10-06T01:03:54.019  7777.57763671875  -4876.69140625       -6048.47119140625    352.9837341308594    2015-10-06T13:00:54.019  76440.0234375     47388.89453125       59867.171875         -3645.731201171875   
37            2015-10-07T00:57:24.019  7779.5703125      -4890.015625         -6039.25634765625    369.9288024902344    2015-10-07T12:53:54.019  76437.734375      48345.1484375        59091.80078125       -3692.305908203125   
38            2015-10-08T00:50:54.019  7781.10986328125  -4886.45703125       -6042.92822265625    388.8853759765625    2015-10-08T12:47:24.019  76437.25          49270.25             58318.9140625        -3741.702392578125   
39            2015-10-09T00:43:54.019  7780.08154296875  -5091.61865234375    -5870.4462890625     378.0917663574219    2015-10-09T12:40:24.018  76439.2578125     50208.125            57513.12109375       -3787.63427734375    
